"category_name","merchant_name","transaction_date","amount"
"Entertainment","Netflix","2023-01-01","97.80"
"Entertainment","Amazon Prime","2023-01-20","87.64"
"Entertainment","Spotify","2023-01-18","77.45"
"Gas","Chevron","2023-01-20","69.00"
"Gas","Exxon","2023-01-21","47.21"
"Gas","Marathon","2023-01-18","37.24"
"Groceries","Costco","2023-01-29","144.62"
"Groceries","Whole Foods","2023-01-18","140.20"
"Groceries","Trader Joes","2023-01-21","134.23"
"Healthcare","Dentist Office","2023-01-12","309.39"
"Rent","Property Management","2023-01-14","1819.03"
"Rent","Property Management","2023-01-09","1674.95"
"Restaurants","Subway","2023-01-05","71.99"
"Restaurants","Subway","2023-01-11","65.37"
"Restaurants","Chipotle","2023-01-13","49.88"
"Shopping","Best Buy","2023-01-23","286.83"
"Shopping","Macys","2023-01-30","266.13"
"Shopping","Nike","2023-01-16","237.68"
"Subscriptions","Microsoft 365","2023-01-22","27.93"
"Subscriptions","Adobe","2023-01-06","27.68"
"Subscriptions","Netflix","2023-01-11","21.20"
"Transportation","Lyft","2023-01-02","39.26"
"Transportation","Uber","2023-01-16","18.44"
"Transportation","Parking","2023-01-26","15.50"
